Allston,Boston,4
Assonet,Freetown,2
Auburndale,Newton,1
Bradford,Haverhill,1
Brighton,Boston,4
Buzzards Bay,Bourne,5
Centerville,Barnstable,1
Charlestown,Boston,3
Chestnut Hill,Boston,1
Devens,Devens,1
Dorchester,Boston,5
East Boston,Boston,4
East Falmouth,Falmouth,2
East Freetown,Freetown,1
East Taunton,Taunton,2
East Walpole,Walpole,1
East Wareham,Wareham,1
East Weymouth,Weymouth,3
Feeding Hills,Agawam,1
Fiskdale,Sturbridge,1
Foxboro,Foxborough,4
Harwich Port,Harwich,1
Hyannis,Barnstable,6
Hyde Park,Boston,3
Jamaica Plain,Boston,4
Manchester,Manchester-by-the-Sea,1
Marstons Mills,Barnstable,1
Mattapan,Boston,2
Middleboro,Middleborough,4
Needham Heights,Needham,2
Newton Center,Newton,1
Newton Highlands,Newton,3
Newtonville,Newton,1
North Attleboro,North Attleborough,5
North Billerica,Billerica,2
North Chelmsford,Chelmsford,1
North Dartmouth,Dartmouth,2
North Dighton,Dighton,1
North Easton,Easton,3
North Falmouth,Falmouth,1
North Oxford,Oxford,1
North Quincy,Quincy,1
North Weymouth,Weymouth,2
Osterville,Barnstable,1
Roslindale,Boston,3
Roxbury,Boston,1
Roxbury Crossing,Boston,2
South Boston,Boston,3
South Dartmouth,Dartmouth,2
South Deerfield,Deerfield,1
South Dennis,Dennis,1
South Easton,Easton,1
South Weymouth,Weymouth,2
South Yarmouth,Yarmouth,3
Tyngsboro,Tyngsborough,1
Wellesley Hills,Wellesley,1
West Barnstable,Barnstable,1
West Newton,Newton,2
West Roxbury,Boston,4
West Wareham,Wareham,1
Whitinsville,Northbridge,2
